organism	domain	repertoire	total_genes	genome_size_bp
plasmodium falciparum 3d7	eukaryota	44	45	23235407
pleurozium schreberi blido	eukaryota	45	176	
syntrichia caninervis	eukaryota	53	498	329824126
chlorokybus atmophyticus	eukaryota	53	216	74330326
micromonas commoda rcc299	eukaryota	45	51	
leishmania major strain friedlin	eukaryota	46	84	32797613
agaricus bisporus var. bisporus h97	eukaryota	45	156	30417844
anncaliia algerae pra339	eukaryota	40	55	20631345
aspergillus clavatus nrrl 1	eukaryota	44	249	27859441
aspergillus kawachii ifo 4308 ifo4308	eukaryota	45	279	
aspergillus ruber cbs 135680	eukaryota	48	179	26209327
baudoinia compniacensis uamh 10762	eukaryota	34	42	21875620
bipolaris sorokiniana nd90pr	eukaryota	42	108	34409167
blastomyces dermatitidis slh14081	eukaryota	47	148	75404732
blumeria graminis f. sp. tritici jiw2	eukaryota	49	445	65237303
candida albicans 3153a	eukaryota	41	127	14889980
candida albicans a48	eukaryota	41	128	14699976
candida albicans chn1	eukaryota	41	131	14787852
candida orthopsilosis co 90-125	eukaryota	40	82	
chaetomium globosum cbs 148.51	eukaryota	46	180	34886939
cladophialophora bantiana cbs 173.52	eukaryota	34	41	36722552
coccidioides immitis h538.4	eukaryota	45	116	27781142
coccidioides posadasii cpa 0001	eukaryota	45	115	28693256
coccidioides posadasii rmscc 1038	eukaryota	45	103	26175928
colletotrichum graminicola m1.001	eukaryota	45	299	51644307
cronartium comandrae c4	eukaryota	55	392	68605838
cryptococcus gattii 2001/935-1	eukaryota	42	147	17566680
cryptococcus gattii cbs 10090	eukaryota	42	144	17478748
cryptococcus gattii ind107	eukaryota	42	142	17799622
cryptococcus gattii ram5	eukaryota	42	147	17453840
cryptococcus neoformans var. neoformans jec21	eukaryota	41	139	
cylindrobasidium torrendii fp15055 ss-10	eukaryota	47	308	31574086
encephalitozoon cuniculi gb-m1	eukaryota	44	46	2497519
endocarpon pusillum z07020	eukaryota	42	65	37130611
epichloe festucae fl1	eukaryota	46	120	35023690
exophiala mesophila cbs 40295	eukaryota	43	49	
exophiala xenobiotica cbs 118157	eukaryota	38	48	
fomitopsis pinicola fp-58527 ss1	eukaryota	46	141	
fusarium graminearum ph-1 nrrl 31084	eukaryota	47	317	
fusarium oxysporum f. sp. cubense race 1	eukaryota	47	289	61471473
fusarium oxysporum f. sp. pisi hdv247	eukaryota	46	324	55188216
fusarium pseudograminearum cs3270	eukaryota	46	303	
ganoderma lucidum g.260125-1	eukaryota	45	209	43292593
grosmannia clavigera kw1407	eukaryota	44	189	29794006
histoplasma capsulatum h143	eukaryota	43	82	38961716
hortaea werneckii exf-2000	eukaryota	46	123	49777326
kluyveromyces lactis nrrl y-1140	eukaryota	42	163	
kwoniella heveanensis bcc8398	eukaryota	43	89	25469355
kwoniella mangroviensis cbs 8886	eukaryota	40	82	22674209
lecanosticta acicola cbs 871.95	eukaryota	45	211	28442312
magnaporthe oryzae 70-15	eukaryota	45	323	
magnaporthiopsis poae atcc 64411	eukaryota	45	167	39641827
metacordyceps chlamydosporia 123	eukaryota	26	31	42540189
metarhizium robertsii arsef 23	eukaryota	47	139	39145269
mortierella verticillata nrrl 6337	eukaryota	45	272	
myceliophthora thermophila atcc 42464	eukaryota	47	192	38744216
naumovozyma dairenensis cbs 421	eukaryota	41	265	13527580
neofusicoccum parvum ucrnp2	eukaryota	43	124	42592847
neurospora pannonica fgsc 7221	eukaryota	34	116	41634043
neurospora tetrasperma fgsc 2509	eukaryota	51	418	39123460
omphalotus olearius vt 653.13	eukaryota	44	193	27993721
paracoccidioides brasiliensis pb03	eukaryota	45	107	29062735
penicillium camemberti fm 013	eukaryota	44	201	35011981
penicillium digitatum pd1	eukaryota	43	189	26053171
penicillium roqueforti fm164	eukaryota	48	196	29010044
pleurotus ostreatus pc15	eukaryota	45	161	34342730
pseudogymnoascus destructans 20631-21	eukaryota	47	125	30684937
pseudozyma flocculosa pf-1	eukaryota	44	173	23305380
pyrenochaeta lycopersici cra-pav_er 1211	eukaryota	44	99	50489877
rhizoctonia solani ag-1 ia ag-1ia	eukaryota	45	141	
rhizopus delemar ra 99-880	eukaryota	45	239	46148878
rhizopus oryzae humc 02	eukaryota	38	99	
saccharomyces arboricola h-6	eukaryota	41	273	11619520
saccharomyces cerevisiae clib215	eukaryota	42	276	12438488
saccharomyces cerevisiae fl100	eukaryota	40	287	12415388
saccharomyces cerevisiae p283	eukaryota	41	248	11408082
saccharomyces cerevisiae rm11-1a	eukaryota	41	272	11736985
saccharomyces cerevisiae ufmg a-905	eukaryota	41	309	11430366
saccharomyces cerevisiae y10	eukaryota	40	207	14267286
saccharomyces kudriavzevii fm1069	eukaryota	6	6	10400950
saccharomyces kudriavzevii fm1076	eukaryota	2	2	10032143
saccharomyces kudriavzevii ifo 1802	eukaryota	41	265	11913776
saccharomyces sp. boulardii 17	eukaryota	41	282	
schizophyllum commune h4-8	eukaryota	46	286	38670379
sclerotinia borealis f-4157	eukaryota	43	181	
sphaerobolus stellatus ss14	eukaryota	57	928	176372157
sporothrix schenckii atcc 58251	eukaryota	44	111	32228000
stereum hirsutum fp-91666 ss1	eukaryota	55	330	46511623
taphrina deformans pycc 5710	eukaryota	44	89	13394157
togninia minima ucrpa7	eukaryota	41	98	47465449
trichoderma longibrachiatum smf2	eukaryota	45	202	31743061
trichophyton rubrum cbs 100081	eukaryota	45	83	23061810
trichophyton rubrum cbs 289.86	eukaryota	45	83	23051776
trichophyton soudanense cbs 452.61	eukaryota	45	83	22854418
umbilicaria muehlenbergii kolri no. lf000956	eukaryota	32	42	
ustilago maydis 521	eukaryota	43	109	20582581
verruconis gallopava cbs 43764	eukaryota	40	53	
vittaforma corneae atcc 50505	eukaryota	43	47	3213516
